,Title,Published_date,Views,Likes,Comments,Month
0,UCM Online - University of Central Missouri,2024-11-20,55,1,1,Nov
1,Level Up with a Master's Degree - University of Central Missouri (UCM),2024-11-20,23,3,0,Nov
2,"Fall 2024 Commencement - 5:30 p.m. Saturday, December 14",2024-11-01,0,1,0,Nov
3,"Fall 2024 Commencement - 2 p.m. Saturday, December 14",2024-11-01,0,0,0,Nov
4,"Fall 2024 Commencement - 10 a.m. Saturday, December 14",2024-11-01,0,0,0,Nov
5,"Fall 2024 Commencement - 6:00 p.m. Friday, December 13",2024-11-01,0,0,0,Nov
6,UCM 2024 Distinguished Alumni Award for Early Achievement - Joel F. Swift,2024-10-26,131,7,0,Oct
7,UCM 2024 Distinguished Alumni Award for Service - LaTonia Collins Smith,2024-10-26,120,9,0,Oct
8,UCM 2024 Distinguished Alumni Award - Steve Jenne,2024-10-26,232,7,0,Oct
9,Week of Welcome 2024 - University of Central Missouri (UCM),2024-08-26,399,5,0,Aug
10,Move In Day 2024 - University of Central Missouri (UCM),2024-08-26,320,4,0,Aug
11,MOlympics 2024 - University of Central Missouri (UCM),2024-08-06,253,3,0,Aug
12,"Spring 2024 Commencement - 6 p.m. Friday, May 3",2024-05-07,7001,82,35,May
13,"Spring 2024 Commencement - 10 a.m. Saturday, May 4",2024-05-07,4705,79,3,May
14,"Spring 2024 Commencement - 2 p.m. Saturday, May 4",2024-05-07,1225,7,0,May
15,"Spring 2024 Commencement - 5:30 p.m. Saturday, May 4",2024-05-07,987,8,0,May
16,UCM Faculty Focus - Julie Lewis (University of Central Missouri),2024-04-26,152,1,0,Apr
17,"Marisela Quetzecua - “If you’re ever having trouble, you can ask the faculty.”",2024-04-23,125,1,0,Apr
18,Justin Williams - Community. Collaboration. Comprehension.,2024-04-23,95,0,0,Apr
19,Rachel Slocum - “It was like a graduate school boot camp.”,2024-04-23,170,1,0,Apr
20,Leah Holt - “She took a personal interest in helping me.”,2024-04-23,167,0,0,Apr
21,Anna Leonard - “It’s not as scary as you think it is.”,2024-04-23,271,5,0,Apr
22,Eli Mendenhall - “You’ve done something most Americans will never do.”,2024-04-23,90,3,0,Apr
23,Mingzhu Zhu - “I’m really proud of myself.”,2024-04-23,153,0,0,Apr
24,Cory Wicker - Limitless.,2024-04-23,68,1,0,Apr
